城市,板块,名称,链接,户型,面积,朝向,楼层,装修,小区,区域,总价,单价,建成时间,发布时间,关注,其他信息
上海,虹口,楼栋靠内  安静不吵，近鲁迅公园，出行便利满五唯--,https://sh.lianjia.com/ershoufang/107105784346.html,2室0厅,49.88平米,南,高楼层(共6层),简装,欧九小区,鲁迅公园, 369万,"73,978元/平",1985年建,10个月以前发布,23人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,此房满五年，高楼层，使用面积大 单价低，采光无遮挡,https://sh.lianjia.com/ershoufang/107106601019.html,2室0厅,50.5平米,东北 西南,高楼层(共7层),精装,何家宅小区,鲁迅公园, 298万,"59,010元/平",1993年建,4个月以前发布,23人关注,板楼、近地铁、VR房源、房本满五年、随时看房
上海,虹口,房子满五年，双轨交通，视野开阔，带车位，品质小区,https://sh.lianjia.com/ershoufang/107106639750.html,3室2厅,154.7平米,南,中楼层(共22层),精装,溧阳华府,鲁迅公园, 1798万,"116,225元/平",2011年建,4个月以前发布,14人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,售后公房 内环内+足球场双地铁交汇+面宽6米多大横厅,https://sh.lianjia.com/ershoufang/107106383552.html,3室2厅,117.52平米,南,中楼层(共7层),简装,华星公寓,鲁迅公园, 880万,"74,881元/平",1997年建,5个月以前发布,41人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,内环内电梯大三房，采光好通风好，4号线海伦路,https://sh.lianjia.com/ershoufang/107106855999.html,3室2厅,120.06平米,东北,中楼层(共24层),毛坯,恒城花苑,鲁迅公园, 998万,"83,126元/平",1997年建,3个月以前发布,15人关注,塔楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,满五年+钥匙房+3/8号线地铁口+龙之梦+鲁迅公园,https://sh.lianjia.com/ershoufang/107103553818.html,2室0厅,63.77平米,东 东南,低楼层(共24层),简装,兴华小区,鲁迅公园, 429万,"67,274元/平",1997年建,一年前发布,230人关注,塔楼、近地铁、VR看装修、房本满两年、随时看房
上海,虹口,一梯两户，双南东边套全明户型，二手买进税费低,https://sh.lianjia.com/ershoufang/107105479156.html,2室1厅,81.99平米,南,高楼层(共6层),精装,绿寓,鲁迅公园, 707万,"86,231元/平",1997年建,一年前发布,21人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,业主诚意出售，3+8号线足球场站500米，看房方便,https://sh.lianjia.com/ershoufang/107104319219.html,3室2厅,138.25平米,西南,中楼层(共24层),简装,兴华小区,鲁迅公园, 900万,"65,100元/平",1997年建,一年前发布,393人关注,塔楼、近地铁、VR房源、房本满五年、随时看房
上海,虹口,中高区视野无遮挡，边套全明，出门200米就是地铁站,https://sh.lianjia.com/ershoufang/107107288133.html,3室2厅,131.38平米,南,中楼层(共14层),简装,建玮公寓,鲁迅公园, 1050万,"79,921元/平",1999年建,1个月以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,售后公房，楼层适中，业主诚意的,https://sh.lianjia.com/ershoufang/107105856184.html,1室0厅,36.65平米,南,中楼层(共6层),简装,欧阳小区,鲁迅公园, 270万,"73,670元/平",1988年建,9个月以前发布,13人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,楼层好，地铁口，配套齐全，满五年,https://sh.lianjia.com/ershoufang/107106437421.html,2室0厅,41.4平米,东南,中楼层(共6层),简装,模一小区,鲁迅公园, 319万,"77,054元/平",1986年建,5个月以前发布,5人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,房子满五，没有交易税费，房子楼层优质，自住装修,https://sh.lianjia.com/ershoufang/107107411187.html,1室1厅,37.07平米,南,中楼层(共6层),精装,欧阳小区,鲁迅公园, 239万,"64,473元/平",1985年建,29天以前发布,7人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,店长推荐：鲁迅公园，一房带阁楼，满五年，有钥匙,https://sh.lianjia.com/ershoufang/107107467347.html,1室0厅,26.33平米,南,高楼层(共5层),简装,欧五小区,鲁迅公园, 185万,"70,263元/平",1982年建,21天以前发布,18人关注,板楼、近地铁、VR看装修、房本满五年、随时看房
上海,虹口,本房满五，税费少，内环内电梯两房,https://sh.lianjia.com/ershoufang/107104521784.html,2室1厅,90.07平米,南,低楼层(共11层),精装,恒业公寓,鲁迅公园, 705万,"78,273元/平",1998年建,一年前发布,21人关注,板楼、近地铁、VR看装修、房本满五年
上海,虹口,此房满五年，楼层好，采光佳，南北通，户型正气诚售。,https://sh.lianjia.com/ershoufang/107104920707.html,3室2厅,150.92平米,南,中楼层(共28层),简装,绿洲紫荆花园,鲁迅公园, 1320万,"87,464元/平",2002年建,一年前发布,34人关注,塔楼、近地铁、VR看装修、房本满五年
上海,虹口,价格都能聊，看房随时约附大带露台,https://sh.lianjia.com/ershoufang/107106654999.html,3室2厅,165.9平米,南,高楼层(共11层),精装,恒业公寓,鲁迅公园, 1313万,"79,145元/平",1998年建,4个月以前发布,7人关注,板楼、近地铁、VR房源、房本满五年
上海,虹口,配套好地铁口铂金地段+高区景观全明方正户型+精装满五,https://sh.lianjia.com/ershoufang/107107248692.html,3室2厅,101.35平米,南,高楼层(共26层),精装,恒城花苑,鲁迅公园, 850万,"83,868元/平",1997年建,1个月以前发布,13人关注,塔楼、近地铁、VR房源、房本满五年
